Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1893,M,M,M,3.54,M,M,M,M,M,M,M,M,M
1894,M,M,M,M,M,M,M,M,M,M,M,M,M
1895,M,M,M,M,M,M,M,M,M,M,M,M,M
1896,M,M,M,M,M,M,M,M,M,0.25,M,T,M
1897,M,M,M,M,M,M,M,M,M,M,M,M,M
1898,M,M,M,3.16,7.37,4.69,7.89,10.61,3.94,9.09,M,5.7,M
1899,4.46,M,M,M,M,M,M,M,M,3.15,1,M,M
1900,M,M,M,3.15,2.58,M,M,M,M,M,M,4.16,M
1901,M,0.9,2.45,9.05,7.66,6.64,M,12.91,4.62,0.57,2.17,8.35,M
1902,3.24,M,3.51,2.64,3.99,5.09,4.82,3.45,6.46,8.97,5.09,4.2,M
1903,5.12,M,4.51,M,1.76,15.82,2.4,3.82,1.93,3.44,0.8,1.54,M
1904,M,1.32,M,2.7,3.63,M,4.54,2.91,2.16,0.61,0.94,2.82,M
1905,M,2.86,1.83,2.06,4.06,8,10.14,M,3.96,2.57,0.49,M,M
1906,3.47,M,4.66,3.11,2.85,5.68,3.98,M,1.95,M,M,3.17,M
1907,1.77,M,1.96,3.98,3.26,7.13,2.68,4.27,6.71,0.88,5.69,5.86,M
1908,M,5.46,2.62,2.03,5.14,6.01,5.3,5.55,4.45,M,0.93,M,M
1909,2.87,M,M,M,3.29,M,M,M,1.21,1.08,0.6,M,M
1910,M,3.64,0.66,4.59,2.86,8.44,7.95,3,1.78,5.45,1.64,M,M
1911,3.8,M,M,3.03,0.98,3.19,2.96,M,2.46,4.07,3.88,4.14,M
1912,1.78,2.8,6.85,2.12,11.54,4.18,1.56,0.65,9.63,2.11,3.42,M,M
1913,2.32,1.32,5.95,5.74,6.67,4.49,4.73,4.07,2.55,6.46,3.42,1.67,49.39
1914,M,2.98,3.52,3.43,1.48,2.38,2.67,M,1.17,5.16,2.95,5.37,M
1915,5.9,4.91,0.95,M,M,M,3.71,7.83,2.38,4.39,1.92,3.54,M
1916,1.34,M,M,2.35,3.61,10.1,3.78,4.47,1.95,2.6,1.64,M,M
1917,M,1.53,M,3.81,2.67,5.49,3.78,8.11,2.28,M,0.34,M,M
1918,M,0.53,2.91,M,3.07,4.09,3.2,3.76,3.43,0.99,1.88,4.61,M
1919,3.99,2.3,4.15,4.17,6.87,5.96,7.72,M,1.25,2.61,3.54,M,M
1920,1.97,M,M,4.69,1.2,7.22,5.06,M,4.77,0.08,4.95,4.6,M
1921,3.65,M,2.35,3.08,4.52,3.49,3.6,1.65,1.65,3,2.24,2.48,M
1922,M,4.19,5.97,1.73,3.44,4.73,3.94,4.87,1,3.46,0.21,4.03,M
1923,3.74,1.89,4.88,3.73,1.45,2.19,4.4,7.18,2.86,1.29,2.93,2.3,38.84
1924,5.2,2.88,2.84,3.88,10.82,6.83,2.71,4.87,6.43,2.55,2.47,3.22,54.7
1925,M,1.95,0.73,2.48,2.12,2.19,2.26,2.73,0.89,M,3.23,3.55,M
1926,4.39,M,1.82,1.92,3.24,1.47,3.3,8.23,2.59,3.51,5.6,M,M
1927,1.05,3.08,1.21,5.83,1.45,1.65,5.33,3.72,3.47,6.51,4.27,4.3,41.87
1928,M,2.94,1.91,5.54,1.43,3.74,3.92,11.97,5.26,0.41,0.95,1.45,M
1929,3,M,4.02,5.98,3.15,7.56,5.77,M,2.77,7.77,1.72,2.03,M
1930,2.62,1.24,2.72,2.9,1.66,2.89,0.78,2.3,1.76,0.57,1.81,2.41,M
1931,1.81,2.05,4.86,2.75,7.32,5.52,M,6.16,2.96,0.66,0.31,2.78,M
1932,4.94,2.13,5.92,1.71,5.76,M,2.72,0.7,M,7.82,5.61,M,M
1933,3.9,M,3.18,7.18,5.7,2.87,8.26,M,1.13,2.56,0.84,M,M
1934,1.45,M,4.67,3.34,4.03,5.29,5.95,M,9.26,0.67,6.6,2.64,M
1935,M,2.19,4.61,3.28,3.32,2.98,7.67,3.2,6.54,2.15,4.75,3.73,M
1936,M,M,6.99,2.61,1.13,2.48,4.55,2.2,4.75,5.04,0.75,6.29,M
1937,8.54,3.55,1.42,12.1,3.2,6.94,7.14,10.88,3.81,10.57,2.98,0.94,72.07
1938,2.89,2.3,2.33,1.42,2.95,4.79,10.52,2.84,3.73,1.29,3.26,5.25,43.57
1939,2.94,5.73,1.91,2.54,1.31,4.11,6.16,4.15,0.91,3.12,2.96,1.7,37.54
1940,M,M,1.77,4.38,4.08,3.94,6.73,6.63,1.56,1.75,5.32,4,M
1941,M,M,M,3.92,0.33,3.87,7.26,0.95,1.02,0.9,1.42,4.68,M
1942,2.86,1.94,M,0.57,M,M,M,M,5.25,9.97,1.75,4.2,M
1943,M,0.91,3.42,3.15,3.28,4.18,M,M,1.75,1.79,1.71,2.54,M
1944,2.24,4.09,5.77,2.98,2.99,1.89,4.6,5.38,16.96,3.1,1.95,2.84,54.79
1945,2.8,M,0.86,3.33,4.32,1.83,8.28,0.74,7.63,1.2,3.62,M,M
