Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
2000,34,42.2,49.5,54.4,65.4,72.7,71.7,72.6,65.3,58,43.4,29.7,54.9
2001,35.2,40.1,43,56.8,62.2,71.6,71.5,75.5,64.9,55.3,52.1,42.7,55.9
2002,41.6,40.8,46.5,57.6,61.9,73.6,76.7,76.2,68.9,55.7,45,36.1,56.7
2003,31,34.1,47.7,55.2,61,69,74.9,75.7,66.3,55,51.2,37.1,54.9
2004,32.1,36.8,48.2,56.4,69.1,71.1,74.9,72,68,56.6,49,39.1,56.1
2005,37.4,39,42.2,55.7,60.2,73.1,77.9,76.7,70.1,59,49.1,35.5,56.3
2006,42.7,38.1,47.5,58.2,62.5,72.1,77.7,77,64.2,53.5,49.2,43.3,57.2
2007,39.6,32.1,49.2,53.5,64.2,71.4,73.4,76.3,68,61.8,46.1,40.1,56.3
2008,36,39.2,46.5,55.7,61,73.8,75.4,72.7,67.8,54.1,43.7,39.1,55.4
2009,31.1,39.2,44.5,54.8,62.9,71.5,72.5,75.7,66.8,55.3,50.1,35.9,55
2010,34.5,33.9,49.7,59.8,67.5,77.6,79.7,78.1,72.1,59.8,47.4,33,57.8
2011,34.2,43.1,47.3,60.4,67.6,76.3,80.5,77,69.9,56.8,50.1,43.2,58.9
2012,40,43.1,56.9,57,72,75,82.3,75.6,67.8,57.6,43.9,43.5,59.6
2013,39,37.1,41,57.4,63.3,73,76.9,72.2,65.9,58.2,43.9,41.1,55.8
2014,30.1,37.3,41.3,55.2,66.3,73.7,74.5,72.3,69,58.6,43.9,41.3,55.3
2015,34.3,29.2,45.1,56.9,68.8,74.5,76.5,74.9,70.4,56.9,52.4,50.5,57.5
2016,34.3,39.7,53.8,56.9,63.6,74.3,80.4,79.5,74.5,62,51.4,41.1,59.3
2017,42,50.2,48.6,63.7,65.5,74.5,80,75.8,70.1,63,47.8,38.7,60
2018,36.1,46.3,43.5,55,72.9,75.1,78.2,78.1,74,61.5,45.6,41.1,59
2019,37.4,43.9,46.6,61.1,71.7,74.4,80.7,77.3,75.2,62.5,45.7,43.6,60
2020,42.3,44.9,54.6,56.4,63.6,75.6,82.7,78.1,68.4,60.8,54.6,41.3,60.3
2021,38.9,39,51.2,58.3,65,75.9,79.5,79.4,71.1,65.2,47,48.2,59.9
2022,34.1,43.6,52,57.6,67.4,74.9,79.2,77.1,70.5,56.9,52.5,40,58.8
2023,45.4,48.5,50.4,61.6,64.5,71.7,80.4,78,72,61.9,48.6,44.8,60.7
2024,39.7,45.4,53.8,61.9,69,77.3,78.4,75.6,67.3,M,M,M,63.2
