Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
2000,2.35,1.69,2.54,3.8,2.78,7.72,2.98,3.23,4.92,0.01,1.8,2.91,36.73
2001,1.92,1.01,4.34,0.95,2.94,5.29,3.38,1.26,2.76,1.49,0.78,2.14,28.26
2002,1.43,0.67,3.54,4.37,1.56,2.63,4.39,2,3.42,5.17,4.82,3.92,37.92
2003,2.62,7.29,4.81,4.61,7.03,6.16,6.9,6.13,10.41,3.32,4.89,4.51,68.68
2004,1.56,2.25,1.55,4.31,5.46,5.19,4.38,1.82,8.89,0.87,4.82,2.74,43.84
2005,3.99,1.8,3.74,3.38,2.47,1.64,4.4,4.36,0.7,7.36,3.99,2.74,40.57
2006,2.58,1.94,0.21,3.01,1.66,8.46,2.4,2.68,5.71,7.33,5.37,1.69,43.04
2007,2.29,2.63,1.57,2.27,2.49,4.47,0.89,4.54,0.54,3.01,0.34,1.6,26.64
2008,0.71,1.69,2.18,3.79,5.52,2.31,2.92,4.48,3.91,1.86,2.57,2.66,34.6
2009,1.73,0.7,2.33,3.05,6.96,4.14,2.43,3.59,4.22,2.34,6.6,7.66,45.75
2010,4.32,3.86,4.97,1.07,3.55,1.54,2.18,2.36,5.49,2.13,3.15,2.36,36.98
2011,0.94,1.69,6.3,5.23,6.01,2.04,2.87,3.62,7.58,5.57,3.13,4.36,49.34
2012,2.21,2.87,3.78,1.87,4.05,3.4,4.34,4.89,2.3,4.37,0.48,2.9,37.46
2013,5.32,1.47,5.51,3.02,4.33,7.05,3.7,6.12,0.64,3.52,2.87,5.91,49.46
2014,2.43,4.69,3.79,5.83,4.86,2.85,3.05,4.33,0.86,3.73,2.9,2.79,42.11
2015,1.91,1.88,3.88,4.67,1.82,8.23,4.01,2.43,6.87,5.91,2.82,3.83,48.26
2016,4.03,4.74,1.49,3.37,5.53,3.75,3,2.7,3.66,0.75,1.49,1.72,36.23
2017,2.82,0.64,2.91,2.8,8.78,2.77,3.84,3.18,1.95,3.89,0.95,0.35,34.88
2018,1.51,4.35,1.81,3.79,9.63,7.68,6.21,5.29,5.37,3.35,7.34,6.26,62.59
2019,2.74,3.7,3.96,2.85,4.19,3.81,4.05,2.65,0.44,7.51,1.1,2.54,39.54
2020,3.57,2.68,1.53,6.3,2.7,2.44,2.59,9.02,2.06,5.63,6.44,5.61,50.57
2021,2.04,5.24,2.01,2.64,0.91,3.28,2.52,7.26,2.59,4.25,0.82,0.26,33.82
2022,3.79,1.48,3.19,3.05,6.17,3.66,6.35,3.4,3.35,1.35,3.77,3.97,43.53
2023,1.64,2.13,1.05,4.2,1.68,M,3.77,0.86,2.28,0.58,3.18,4.36,M
2024,5.88,1.61,2.97,1.7,3.82,0.71,2.38,6.8,9.35,M,M,M,M
